r,Angle,x,y
13,0,332,239
13,1,331,239
13,2,331,239
13,3,331,239
13,4,331,239
13,5,331,240
13,6,331,240
13,7,331,240
13,8,331,240
13,9,331,241
13,10,331,241
13,11,331,241
13,12,331,241
13,13,331,241
13,14,331,242
13,15,331,242
13,16,331,242
13,17,331,242
13,18,331,243
13,19,331,243
13,20,331,243
13,21,331,243
13,22,331,243
13,23,330,244
13,24,330,244
13,25,330,244
13,26,330,244
13,27,330,244
13,28,330,245
13,29,330,245
13,30,330,245
13,31,330,245
13,32,330,245
13,33,329,246
13,34,329,246
13,35,329,246
13,36,329,246
13,37,329,246
13,38,329,247
13,39,329,247
13,40,328,247
13,41,328,247
13,42,328,247
13,43,328,247
13,44,328,248
13,45,328,248
13,46,328,248
13,47,327,248
13,48,327,248
13,49,327,248
13,50,327,248
13,51,327,249
13,52,327,249
13,53,326,249
13,54,326,249
13,55,326,249
13,56,326,249
13,57,326,249
13,58,325,250
13,59,325,250
13,60,325,250
13,61,325,250
13,62,325,250
13,63,324,250
13,64,324,250
13,65,324,250
13,66,324,250
13,67,324,250
13,68,323,251
13,69,323,251
13,70,323,251
13,71,323,251
13,72,323,251
13,73,322,251
13,74,322,251
13,75,322,251
13,76,322,251
13,77,321,251
13,78,321,251
13,79,321,251
13,80,321,251
13,81,321,251
13,82,320,251
13,83,320,251
13,84,320,251
13,85,320,251
13,86,319,251
13,87,319,251
13,88,319,251
13,89,319,251
13,90,319,252
13,91,318,251
13,92,318,251
13,93,318,251
13,94,318,251
13,95,317,251
13,96,317,251
13,97,317,251
13,98,317,251
13,99,316,251
13,100,316,251
13,101,316,251
13,102,316,251
13,103,316,251
13,104,315,251
13,105,315,251
13,106,315,251
13,107,315,251
13,108,314,251
13,109,314,251
13,110,314,251
13,111,314,251
13,112,314,251
13,113,313,250
13,114,313,250
13,115,313,250
13,116,313,250
13,117,313,250
13,118,312,250
13,119,312,250
13,120,312,250
13,121,312,250
13,122,312,250
13,123,311,249
13,124,311,249
13,125,311,249
13,126,311,249
13,127,311,249
13,128,310,249
13,129,310,249
13,130,310,248
13,131,310,248
13,132,310,248
13,133,310,248
13,134,309,248
13,135,309,248
13,136,309,248
13,137,309,247
13,138,309,247
13,139,309,247
13,140,309,247
13,141,308,247
13,142,308,247
13,143,308,246
13,144,308,246
13,145,308,246
13,146,308,246
13,147,308,246
13,148,307,245
13,149,307,245
13,150,307,245
13,151,307,245
13,152,307,245
13,153,307,244
13,154,307,244
13,155,307,244
13,156,307,244
13,157,307,244
13,158,306,243
13,159,306,243
13,160,306,243
13,161,306,243
13,162,306,243
13,163,306,242
13,164,306,242
13,165,306,242
13,166,306,242
13,167,306,241
13,168,306,241
13,169,306,241
13,170,306,241
13,171,306,241
13,172,306,240
13,173,306,240
13,174,306,240
13,175,306,240
13,176,306,239
13,177,306,239
13,178,306,239
13,179,306,239
13,180,306,239
13,181,306,238
13,182,306,238
13,183,306,238
13,184,306,238
13,185,306,237
13,186,306,237
13,187,306,237
13,188,306,237
13,189,306,236
13,190,306,236
13,191,306,236
13,192,306,236
13,193,306,236
13,194,306,235
13,195,306,235
13,196,306,235
13,197,306,235
13,198,306,234
13,199,306,234
13,200,306,234
13,201,306,234
13,202,306,234
13,203,307,233
13,204,307,233
13,205,307,233
13,206,307,233
13,207,307,233
13,208,307,232
13,209,307,232
13,210,307,232
13,211,307,232
13,212,307,232
13,213,308,231
13,214,308,231
13,215,308,231
13,216,308,231
13,217,308,231
13,218,308,230
13,219,308,230
13,220,309,230
13,221,309,230
13,222,309,230
13,223,309,230
13,224,309,229
13,225,309,229
13,226,309,229
13,227,310,229
13,228,310,229
13,229,310,229
13,230,310,229
13,231,310,228
13,232,310,228
13,233,311,228
13,234,311,228
13,235,311,228
13,236,311,228
13,237,311,228
13,238,312,227
13,239,312,227
13,240,312,227
13,241,312,227
13,242,312,227
13,243,313,227
13,244,313,227
13,245,313,227
13,246,313,227
13,247,313,227
13,248,314,226
13,249,314,226
13,250,314,226
13,251,314,226
13,252,314,226
13,253,315,226
13,254,315,226
13,255,315,226
13,256,315,226
13,257,316,226
13,258,316,226
13,259,316,226
13,260,316,226
13,261,316,226
13,262,317,226
13,263,317,226
13,264,317,226
13,265,317,226
13,266,318,226
13,267,318,226
13,268,318,226
13,269,318,226
13,270,318,226
13,271,319,226
13,272,319,226
13,273,319,226
13,274,319,226
13,275,320,226
13,276,320,226
13,277,320,226
13,278,320,226
13,279,321,226
13,280,321,226
13,281,321,226
13,282,321,226
13,283,321,226
13,284,322,226
13,285,322,226
13,286,322,226
13,287,322,226
13,288,323,226
13,289,323,226
13,290,323,226
13,291,323,226
13,292,323,226
13,293,324,227
13,294,324,227
13,295,324,227
13,296,324,227
13,297,324,227
13,298,325,227
13,299,325,227
13,300,325,227
13,301,325,227
13,302,325,227
13,303,326,228
13,304,326,228
13,305,326,228
13,306,326,228
13,307,326,228
13,308,327,228
13,309,327,228
13,310,327,229
13,311,327,229
13,312,327,229
13,313,327,229
13,314,328,229
13,315,328,229
13,316,328,229
13,317,328,230
13,318,328,230
13,319,328,230
13,320,328,230
13,321,329,230
13,322,329,230
13,323,329,231
13,324,329,231
13,325,329,231
13,326,329,231
13,327,329,231
13,328,330,232
13,329,330,232
13,330,330,232
13,331,330,232
13,332,330,232
13,333,330,233
13,334,330,233
13,335,330,233
13,336,330,233
13,337,330,233
13,338,331,234
13,339,331,234
13,340,331,234
13,341,331,234
13,342,331,234
13,343,331,235
13,344,331,235
13,345,331,235
13,346,331,235
13,347,331,236
13,348,331,236
13,349,331,236
13,350,331,236
13,351,331,236
13,352,331,237
13,353,331,237
13,354,331,237
13,355,331,237
13,356,331,238
13,357,331,238
13,358,331,238
13,359,331,238
13,360,331,238